topology,nodes,edges,method,k,objective,time_sec
Noel Communications ,19,25,Greedy,3,70.11890009801998,0.0
Noel Communications ,19,25,LocalSearch,3,70.11890009801998,0.0
Noel Communications ,19,25,ILP,3,70.11890009801998,0.023000001907348633
RedIris,19,31,Greedy,3,155.28785736807404,0.0009999275207519531
RedIris,19,31,LocalSearch,3,155.28785736807407,0.0
RedIris,19,31,ILP,3,155.28785736807407,0.023000001907348633
Restena,19,21,Greedy,3,7.815963847462226,0.0
Restena,19,21,LocalSearch,3,7.792041531890158,0.0
Restena,19,21,ILP,3,7.792041531890158,0.029000043869018555
Savvis,19,20,Greedy,3,322.0852901356132,0.0
Savvis,19,20,LocalSearch,3,322.0852901356132,0.0
Savvis,19,20,ILP,3,322.0852901356132,0.023999929428100586
BT Asia-Pacific,20,31,Greedy,3,4403.527016372336,0.0
BT Asia-Pacific,20,31,LocalSearch,3,2205.051765439892,0.0
BT Asia-Pacific,20,31,ILP,3,2205.0517654398923,0.0279998779296875
Electric Lightwave,20,30,Greedy,3,1447.365438202607,0.0
Electric Lightwave,20,30,LocalSearch,3,1447.3654382026068,0.0
Electric Lightwave,20,30,ILP,3,1447.365438202607,0.026999950408935547
Janet Lense,20,34,Greedy,3,18.002413068449385,0.0
Janet Lense,20,34,LocalSearch,3,18.002413068449385,0.0
Janet Lense,20,34,ILP,3,18.002413068449385,0.029999971389770508
MARNET,20,27,Greedy,3,5.071014842213319,0.0
MARNET,20,27,LocalSearch,3,5.071014842213319,0.0
MARNET,20,27,ILP,3,5.0710148422133186,0.026999950408935547
Oxford,20,26,Greedy,3,30.33584735617854,0.0
Oxford,20,26,LocalSearch,3,30.33584735617854,0.0
Oxford,20,26,ILP,3,30.33584735617854,0.02700018882751465
Quest ,20,31,Greedy,3,3245.241816816011,0.0
Quest ,20,31,LocalSearch,3,2897.3440154490972,0.0
Quest ,20,31,ILP,3,2897.3440154490972,0.026999950408935547
TWAREN,20,20,Greedy,3,36.846734642601824,0.0
TWAREN,20,20,LocalSearch,3,29.797065738917457,0.0
TWAREN,20,20,ILP,3,29.797065738917457,0.0279998779296875
ATMnet,21,22,Greedy,3,1381.3617429047376,0.0
ATMnet,21,22,LocalSearch,3,1381.3617429047379,0.0
ATMnet,21,22,ILP,3,1381.3617429047376,0.029999971389770508
BELNET,21,24,Greedy,3,90.35614034454711,0.0
BELNET,21,24,LocalSearch,3,90.35614034454713,0.0
BELNET,21,24,ILP,3,90.35614034454713,0.026999950408935547
BELNET,21,24,Greedy,3,90.35614034454711,0.0
BELNET,21,24,LocalSearch,3,90.35614034454713,0.0
BELNET,21,24,ILP,3,90.35614034454713,0.031999826431274414
BELNET,21,24,Greedy,3,81.23302360939957,0.0
BELNET,21,24,LocalSearch,3,81.23302360939955,0.0
BELNET,21,24,ILP,3,81.23302360939955,0.026999950408935547
GTS Romania,21,24,Greedy,3,181.85068687449268,0.0
GTS Romania,21,24,LocalSearch,3,181.85068687449268,0.0
GTS Romania,21,24,ILP,3,181.85068687449268,0.03500008583068848
HARNET,21,23,Greedy,3,33.69198585802096,0.0
HARNET,21,23,LocalSearch,3,18.64098259961528,0.0009999275207519531
HARNET,21,23,ILP,3,18.64098259961528,0.032000064849853516
Packet Exchange,21,27,Greedy,3,3622.0296054215573,0.0
Packet Exchange,21,27,LocalSearch,3,3622.0296054215573,0.0
Packet Exchange,21,27,ILP,3,3622.0296054215573,0.028999805450439453
Azrena,22,21,Greedy,3,38.517260522646026,0.0
Azrena,22,21,LocalSearch,3,38.517260522646026,0.0
Azrena,22,21,ILP,3,38.517260522646026,0.032000064849853516
Bandcon ,22,28,Greedy,3,0.0,0.0
Bandcon ,22,28,LocalSearch,3,0.0,0.0
Bandcon ,22,28,ILP,3,0.0,0.02499985694885254
