topology,nodes,edges,avg_degree,density,max_betweenness,num_exits,k,greedy_obj,ls_obj,best_obj,greedy_time,ls_time
GARR,59,74,2.51,0.0432,0.4702,32,3,1228.6,960.57,960.57,0.0,0.001
GARR,60,74,2.47,0.0418,0.5146,33,3,1115.46,937.21,937.21,0.0,0.0
GARR,61,75,2.46,0.041,0.5078,34,3,1165.86,1023.3,1023.3,0.0,0.001
GARR,61,75,2.46,0.041,0.5078,34,3,1165.86,1023.3,1023.3,0.0,0.001
FORTHNET,62,62,2.0,0.0328,0.8951,50,3,908.34,908.34,908.34,0.0,0.001
US Signal,63,78,2.48,0.0399,0.3222,13,3,0.0,0.0,0.0,0.0,0.001
ASNET-AM,65,77,2.37,0.037,0.6663,33,3,74.21,72.52,72.52,0.0,0.001
Internode,66,77,2.33,0.0359,0.5099,47,3,19473.51,18461.72,18461.72,0.0,0.0
GlobeNet,67,95,2.84,0.043,0.4498,7,3,10123.9,10123.9,10123.9,0.0,0.0
Missouri Network Alliance ,67,83,2.48,0.0375,0.3608,8,3,757.56,732.64,732.64,0.0,0.002
ESnet,68,79,2.32,0.0347,0.3807,38,3,5080.42,5063.49,5063.49,0.0,0.0
LATNET,69,74,2.14,0.0315,0.926,37,3,305.19,303.73,303.73,0.0,0.001
Uninett,69,96,2.78,0.0409,0.3341,11,3,2001.29,1195.02,1195.02,0.0,0.001
Columbus Networks,70,85,2.43,0.0352,0.3698,9,3,6138.31,4411.57,4411.57,0.0,0.0
Intellifiber,73,95,2.6,0.0361,0.4279,7,3,1651.74,1037.91,1037.91,0.0,0.001
Tecove (level3),73,70,1.92,0.0266,0.6976,50,3,0.0,0.0,0.0,0.0,0.0
Sinet,74,76,2.05,0.0281,0.488,50,3,874.48,792.8,792.8,0.0,0.001
SWITCH,74,92,2.49,0.0341,0.3471,19,3,686.66,547.07,547.07,0.0,0.001
Syringa Networks,74,74,2.0,0.0274,0.5266,23,3,1046.99,1005.15,1005.15,0.0,0.002
Uninett,74,101,2.73,0.0374,0.3534,15,3,2037.48,1269.56,1269.56,0.0,0.003
TW Telecom,76,115,3.03,0.0404,0.3933,7,3,0.0,0.0,0.0,0.0,0.001
ULAKNET,82,82,2.0,0.0247,0.934,50,3,697.62,697.62,697.62,0.0,0.001
Bestel ,84,93,2.21,0.0267,0.5049,10,3,3690.62,3460.46,3460.46,0.0,0.001
Viatel,88,92,2.09,0.024,0.5078,18,3,2138.69,1889.45,1889.45,0.0,0.001
Viatel,92,96,2.09,0.0229,0.4913,19,3,2520.64,1886.18,1886.18,0.0,0.003
OTEGlobe ,93,103,2.22,0.0241,0.2819,24,3,0.0,0.0,0.0,0.0,0.0
Interroute ,110,146,2.65,0.0244,0.3294,8,3,4238.2,4238.2,4238.2,0.0,0.003
ITC Deltacom ,113,161,2.85,0.0254,0.4503,4,3,249.68,249.68,249.68,0.0,0.002
ION,125,146,2.34,0.0188,0.3574,11,3,2270.92,2270.92,2270.92,0.0,0.003
PERN,127,129,2.03,0.0161,0.4659,50,3,1615.97,1615.97,1615.97,0.0,0.002
TATA,145,186,2.57,0.0178,0.3015,9,3,4889.81,4830.91,4830.91,0.001,0.003
GTS CE,149,193,2.59,0.0175,0.5002,12,3,5395.11,5395.11,5395.11,0.0,0.003
Colt Telecom ,153,177,2.31,0.0152,0.5417,50,3,6361.88,4786.59,4786.59,0.0,0.005
US Carrier,158,189,2.39,0.0152,0.517,8,3,5873.74,4023.1,4023.1,0.0,0.004
Dial Telecom ,193,151,1.56,0.0081,0.1672,24,3,0.0,0.0,0.0,0.001,0.002
Cogent ,197,243,2.47,0.0126,0.3872,22,3,13035.37,9480.82,9480.82,0.0,0.008
Kentucky Datalink ,754,895,2.37,0.0032,0.2666,42,3,27996.31,19622.03,19622.03,0.003,0.112
